0, 2020-01-02 08:00:00+00:00, 2020-01-09 08:00:00+00:00, 2020-10-01 08:00:00+00:00, 2020-10-08 08:00:00+00:00
1, 2020-10-09 08:00:00+00:00, 2020-10-16 08:00:00+00:00, 2020-10-16 08:00:00+00:00, 2020-10-23 08:00:00+00:00
2, 2020-10-24 08:00:00+00:00, 2020-10-31 08:00:00+00:00, 2020-10-31 08:00:00+00:00, 2020-11-07 08:00:00+00:00
3, 2020-11-08 08:00:00+00:00, 2020-11-15 08:00:00+00:00, 2020-11-22 08:00:00+00:00, 2020-11-29 08:00:00+00:00
4, 2020-11-30 08:00:00+00:00, 2020-12-07 08:00:00+00:00, 2020-12-28 08:00:00+00:00, 2021-01-04 08:00:00+00:00
5, 2021-01-05 08:00:00+00:00, 2021-01-12 08:00:00+00:00, 2021-01-19 08:00:00+00:00, 2021-01-26 08:00:00+00:00
6, 2021-01-27 08:00:00+00:00, 2021-02-03 08:00:00+00:00, 2021-02-03 08:00:00+00:00, 2021-02-10 08:00:00+00:00
7, 2021-02-11 08:00:00+00:00, 2021-02-18 08:00:00+00:00, 2021-02-18 08:00:00+00:00, 2021-02-25 08:00:00+00:00
8, 2021-02-26 07:59:59.999999+00:00, 2021-03-05 07:59:59.999999+00:00, 2021-04-16 07:59:59.999999+00:00, 2021-04-23 07:59:59.999999+00:00
9, 2021-04-24 08:00:00+00:00, 2021-05-01 08:00:00+00:00, 2021-05-15 08:00:00+00:00, 2021-05-22 08:00:00+00:00
10, 2021-05-23 08:00:00+00:00, 2021-05-30 08:00:00+00:00, 2021-05-30 08:00:00+00:00, 2021-06-06 08:00:00+00:00
11, 2021-06-07 08:00:00+00:00, 2021-06-14 08:00:00+00:00, 2021-06-21 08:00:00+00:00, 2021-06-28 08:00:00+00:00
