0, 2020-01-08 08:00:00+00:00, 2020-01-15 08:00:00+00:00, 2020-09-26 20:00:00+00:00, 2020-10-03 20:00:00+00:00
1, 2020-10-11 08:00:00+00:00, 2020-10-18 08:00:00+00:00, 2020-10-14 20:00:00+00:00, 2020-10-21 20:00:00+00:00
2, 2020-10-29 08:00:00+00:00, 2020-11-05 08:00:00+00:00, 2020-11-19 08:00:00+00:00, 2020-11-26 08:00:00+00:00
3, 2020-12-03 08:00:00.000001+00:00, 2020-12-10 08:00:00.000001+00:00, 2020-12-06 20:00:00.000001+00:00, 2020-12-13 20:00:00.000001+00:00
4, 2020-12-21 08:00:00+00:00, 2020-12-28 08:00:00+00:00, 2020-12-28 08:00:00+00:00, 2021-01-04 08:00:00+00:00
5, 2021-01-11 08:00:00+00:00, 2021-01-18 08:00:00+00:00, 2021-01-14 20:00:00+00:00, 2021-01-21 20:00:00+00:00
6, 2021-01-29 08:00:00+00:00, 2021-02-05 08:00:00+00:00, 2021-02-01 20:00:00+00:00, 2021-02-08 20:00:00+00:00
7, 2021-02-16 08:00:00+00:00, 2021-02-23 08:00:00+00:00, 2021-02-19 20:00:00+00:00, 2021-02-26 20:00:00+00:00
8, 2021-03-06 08:00:00+00:00, 2021-03-13 08:00:00+00:00, 2021-03-09 20:00:00+00:00, 2021-03-16 20:00:00+00:00
9, 2021-03-24 08:00:00+00:00, 2021-03-31 08:00:00+00:00, 2021-03-31 08:00:00+00:00, 2021-04-07 08:00:00+00:00
10, 2021-04-14 08:00:00.000001+00:00, 2021-04-21 08:00:00.000001+00:00, 2021-04-17 20:00:00.000001+00:00, 2021-04-24 20:00:00.000001+00:00
11, 2021-05-02 08:00:00+00:00, 2021-05-09 08:00:00+00:00, 2021-05-12 20:00:00+00:00, 2021-05-19 20:00:00+00:00
12, 2021-05-27 08:00:00+00:00, 2021-06-03 08:00:00+00:00, 2021-06-10 08:00:00+00:00, 2021-06-17 08:00:00+00:00
