0, 2020-01-02 08:00:00+00:00, 2020-01-09 08:00:00+00:00, 2020-01-16 08:00:00+00:00, 2020-01-23 08:00:00+00:00
1, 2020-01-24 08:00:00+00:00, 2020-01-31 08:00:00+00:00, 2020-01-31 08:00:00+00:00, 2020-02-07 08:00:00+00:00
2, 2020-02-08 08:00:00+00:00, 2020-02-15 08:00:00+00:00, 2020-02-29 08:00:00+00:00, 2020-03-07 08:00:00+00:00
3, 2020-03-08 08:00:00+00:00, 2020-03-15 08:00:00+00:00, 2020-03-22 08:00:00+00:00, 2020-03-29 08:00:00+00:00
4, 2020-03-30 08:00:00+00:00, 2020-04-06 08:00:00+00:00, 2020-06-29 08:00:00+00:00, 2020-07-06 08:00:00+00:00
5, 2020-07-07 07:59:59.999999+00:00, 2020-07-14 07:59:59.999999+00:00, 2020-08-04 07:59:59.999999+00:00, 2020-08-11 07:59:59.999999+00:00
6, 2020-08-12 07:59:59.999999+00:00, 2020-08-19 07:59:59.999999+00:00, 2020-08-26 07:59:59.999999+00:00, 2020-09-02 07:59:59.999999+00:00
7, 2020-09-03 08:00:00+00:00, 2020-09-10 08:00:00+00:00, 2020-09-10 08:00:00+00:00, 2020-09-17 08:00:00+00:00
8, 2020-09-18 08:00:00+00:00, 2020-09-25 08:00:00+00:00, 2020-09-25 08:00:00+00:00, 2020-10-02 08:00:00+00:00
9, 2020-10-03 08:00:00+00:00, 2020-10-10 08:00:00+00:00, 2020-10-10 08:00:00+00:00, 2020-10-17 08:00:00+00:00
