case_id,activity,enable_time,start_time,end_time,resource, priority, origin
0,Sequence A,2023-12-02 19:04:49.494900+02:00,2023-12-02 19:04:49.494900+02:00,2023-12-02 19:14:49.494900+02:00,Resource 1_0, HIGH, Spain
1,Sequence A,2023-12-02 19:14:49.494900+02:00,2023-12-02 19:14:49.494900+02:00,2023-12-02 19:24:49.494900+02:00,Resource 1_1, HIGH, Spain
0,Sequence B,2023-12-02 19:14:49.494900+02:00,2023-12-02 19:14:49.494900+02:00,2023-12-02 19:24:49.494900+02:00,Resource 1_2, HIGH, Spain
2,Sequence A,2023-12-02 19:24:49.494900+02:00,2023-12-02 19:24:49.494900+02:00,2023-12-02 19:34:49.494900+02:00,Resource 1_3, HIGH, Spain
1,Sequence B,2023-12-02 19:24:49.494900+02:00,2023-12-02 19:24:49.494900+02:00,2023-12-02 19:34:49.494900+02:00,Resource 1_4, HIGH, Spain
3,Sequence A,2023-12-02 19:34:49.494900+02:00,2023-12-02 19:34:49.494900+02:00,2023-12-02 19:44:49.494900+02:00,Resource 1_0, HIGH, Spain
2,Sequence B,2023-12-02 19:34:49.494900+02:00,2023-12-02 19:34:49.494900+02:00,2023-12-02 19:44:49.494900+02:00,Resource 1_1, HIGH, Spain
4,Sequence A,2023-12-02 19:44:49.494900+02:00,2023-12-02 19:44:49.494900+02:00,2023-12-02 19:54:49.494900+02:00,Resource 1_2, HIGH, Spain
3,Sequence B,2023-12-02 19:44:49.494900+02:00,2023-12-02 19:44:49.494900+02:00,2023-12-02 19:54:49.494900+02:00,Resource 1_3, HIGH, Spain
5,Sequence A,2023-12-02 19:54:49.494900+02:00,2023-12-02 19:54:49.494900+02:00,2023-12-02 20:04:49.494900+02:00,Resource 1_4, HIGH, Spain
4,Sequence B,2023-12-02 19:54:49.494900+02:00,2023-12-02 19:54:49.494900+02:00,2023-12-02 20:04:49.494900+02:00,Resource 1_0, HIGH, Spain
6,Sequence A,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,Resource 1_1, HIGH, Spain
5,Sequence B,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,Resource 1_2, HIGH, Spain
0,Sequence C,2023-12-02 19:24:49.494900+02:00,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,Resource 1_3, HIGH, Spain
1,Sequence C,2023-12-02 19:34:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,Resource 1_3, HIGH, Spain
2,Sequence C,2023-12-02 19:44:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,Resource 1_3, HIGH, Spain
3,Sequence C,2023-12-02 19:54:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,Resource 1_3, HIGH, Spain
4,Sequence C,2023-12-02 20:04:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,Resource 1_3, HIGH, Spain
7,Sequence A,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,Resource 1_4, HIGH, Spain
6,Sequence B,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,Resource 1_0, HIGH, Spain
8,Sequence A,2023-12-02 20:24:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,Resource 1_1, HIGH, Spain
7,Sequence B,2023-12-02 20:24:49.494900+02:00,2023-12-02 20:24:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,Resource 1_2, HIGH, Spain
9,Sequence A,2023-12-02 20:34:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,Resource 1_4, HIGH, Spain
8,Sequence B,2023-12-02 20:34:49.494900+02:00,2023-12-02 20:34:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,Resource 1_0, HIGH, Spain
10,Sequence A,2023-12-02 20:44:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,Resource 1_1, HIGH, Spain
9,Sequence B,2023-12-02 20:44:49.494900+02:00,2023-12-02 20:44:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,Resource 1_2, HIGH, Spain
11,Sequence A,2023-12-02 20:54:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,Resource 1_4, HIGH, Spain
10,Sequence B,2023-12-02 20:54:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,Resource 1_0, HIGH, Spain
5,Sequence C,2023-12-02 20:14:49.494900+02:00,2023-12-02 20:54:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,Resource 1_3, HIGH, Spain
6,Sequence C,2023-12-02 20:24:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,2023-12-02 21:14:49.494900+02:00,Resource 1_3, HIGH, Spain
7,Sequence C,2023-12-02 20:34:49.494900+02:00,2023-12-02 21:14:49.494900+02:00,2023-12-02 21:24:49.494900+02:00,Resource 1_3, HIGH, Spain
8,Sequence C,2023-12-02 20:44:49.494900+02:00,2023-12-02 21:24:49.494900+02:00,2023-12-02 21:34:49.494900+02:00,Resource 1_3, HIGH, Spain
9,Sequence C,2023-12-02 20:54:49.494900+02:00,2023-12-02 21:34:49.494900+02:00,2023-12-02 21:44:49.494900+02:00,Resource 1_3, HIGH, Spain
12,Sequence A,2023-12-02 21:04:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,2023-12-02 21:14:49.494900+02:00,Resource 1_1, HIGH, Spain
11,Sequence B,2023-12-02 21:04:49.494900+02:00,2023-12-02 21:04:49.494900+02:00,2023-12-02 21:14:49.494900+02:00,Resource 1_2, HIGH, Spain
13,Sequence A,2023-12-02 21:14:49.494900+02:00,2023-12-02 21:14:49.494900+02:00,2023-12-02 21:24:49.494900+02:00,Resource 1_4, HIGH, Spain
